Ticket_ID,Customer_ID,Agent_Name,Department,Priority,Category,Created_Date,Closed_Date,Resolution_Time_Hours,SLA_Status,CSAT_Score,Region,Channel,Status
TS-1031,CU-1618,Marcus Brown,General,Low,Partnership,2026-04-14 10:53:00,2026-04-14 17:16:24,6.39,Met,4,LATAM,Chat,Closed
TS-1032,CU-1028,Marcus Brown,General,Low,Feature Request,2026-04-27 13:21:00,2026-04-28 02:01:12,12.67,Met,,LATAM,Email,Closed
TS-1033,CU-1020,Sarah Jenkins,Billing,Low,Refund Request,2026-01-06 17:09:00,2026-01-07 21:38:24,28.49,Met,5,Asia-Pacific,Email,Closed
TS-1034,CU-1378,Emily Davis,Technical,High,Hardware Malfunction,2026-05-28 18:58:00,,,Breached,,North America,Chat,In Progress
TS-1035,CU-1407,David Lee,Technical,Medium,System Bug,2026-06-03 09:50:00,,,Breached,,North America,Chat,Pending
TS-1036,CU-1802,James Wilson,Account,Medium,Reset Password,2026-04-18 15:06:00,2026-04-18 19:07:48,4.03,Met,,Asia-Pacific,Email,Closed
TS-1037,CU-1535,Sofia Rodriguez,Account,Medium,Update Profile,2026-04-26 11:48:00,2026-04-27 04:37:48,16.83,Met,5,LATAM,Phone,Closed
TS-1038,CU-1349,David Lee,Technical,Medium,System Bug,2026-03-03 15:41:00,2026-03-06 17:17:36,73.61,Met,3,Asia-Pacific,Phone,Closed
TS-1039,CU-1680,James Wilson,Account,Medium,Account Security,2026-04-27 12:19:00,2026-04-28 00:25:36,12.11,Met,4,LATAM,Phone,Closed
TS-1040,CU-1190,Sofia Rodriguez,Account,Medium,Update Profile,2026-04-03 10:19:00,2026-04-04 00:23:12,14.07,Met,5,Europe,Chat,Closed
TS-1041,CU-1503,Priya Patel,General,Medium,Partnership,2026-03-06 15:07:00,2026-03-06 23:39:24,8.54,Met,,North America,Email,Closed
TS-1042,CU-1577,John Doe,Billing,Urgent,Subscription Cancel,2026-05-14 14:28:00,,,Breached,,North America,Phone,Open
TS-1043,CU-1305,Sarah Jenkins,Billing,Medium,Refund Request,2026-03-09 18:05:00,2026-03-10 17:48:48,23.73,Met,4,Asia-Pacific,Portal,Closed
TS-1044,CU-1465,Emily Davis,Technical,High,Integration Error,2026-03-10 10:04:00,2026-03-15 02:04:36,112.01,Breached,3,Europe,Email,Closed
TS-1045,CU-1413,John Doe,Billing,Medium,Subscription Cancel,2026-01-24 11:43:00,2026-02-06 21:54:24,322.19,Breached,2,LATAM,Phone,Closed
TS-1046,CU-1939,Marcus Brown,General,Urgent,Partnership,2026-03-27 13:42:00,2026-03-27 16:41:24,2.99,Met,4,Europe,Phone,Closed
TS-1047,CU-1779,James Wilson,Account,Low,Update Profile,2026-01-01 18:55:00,2026-01-03 00:49:00,29.9,Met,4,LATAM,Email,Closed
TS-1048,CU-1779,Alisha Khan,Technical,Low,Hardware Malfunction,2026-01-08 18:38:00,2026-01-13 11:17:36,112.66,Met,3,Europe,Email,Closed
TS-1049,CU-1862,David Lee,Technical,Urgent,Integration Error,2026-03-11 14:53:00,2026-03-12 20:23:36,29.51,Breached,2,LATAM,Email,Closed
TS-1050,CU-1765,Marcus Brown,General,Low,General Inquiry,2026-03-14 12:53:00,2026-03-14 21:35:00,8.7,Met,4,North America,Chat,Closed
TS-1051,CU-1467,David Lee,Technical,Urgent,Integration Error,2026-05-02 14:24:00,,,Breached,,Europe,Phone,Pending
TS-1052,CU-1812,David Lee,Technical,Urgent,Hardware Malfunction,2026-04-27 08:46:00,2026-04-27 22:13:00,13.45,Met,3,LATAM,Chat,Closed
TS-1053,CU-1691,Priya Patel,General,Medium,Feedback,2026-03-15 11:47:00,2026-03-16 01:17:00,13.5,Met,,Asia-Pacific,Portal,Closed
TS-1054,CU-1333,Marcus Brown,General,Low,Feature Request,2026-02-16 10:11:00,2026-02-20 08:28:24,94.29,Met,3,Asia-Pacific,Email,Closed
TS-1055,CU-1262,David Lee,Technical,High,System Bug,2026-03-18 18:27:00,2026-03-20 21:20:24,50.89,Breached,1,LATAM,Email,Closed
TS-1056,CU-1303,Priya Patel,General,Urgent,General Inquiry,2026-05-08 12:49:00,2026-05-08 17:46:36,4.96,Met,5,North America,Phone,Closed
TS-1057,CU-1739,Sarah Jenkins,Billing,High,Invoice Copy,2026-02-03 09:58:00,2026-02-04 06:52:36,20.91,Met,4,North America,Chat,Closed
TS-1058,CU-1544,Marcus Brown,General,Low,General Inquiry,2026-04-30 09:09:00,2026-04-30 16:52:48,7.73,Met,5,Europe,Phone,Closed
TS-1059,CU-1571,Michael Chen,Billing,High,Invoice Copy,2026-06-22 12:37:00,2026-06-23 16:43:36,28.11,Met,4,North America,Phone,Closed
TS-1060,CU-1966,Priya Patel,General,Medium,General Inquiry,2026-01-10 12:31:00,2026-01-10 17:01:00,4.5,Met,5,Europe,Phone,Closed
TS-1061,CU-1714,Michael Chen,Billing,High,Subscription Cancel,2026-04-05 11:28:00,2026-04-05 23:14:12,11.77,Met,5,Europe,Portal,Closed
TS-1062,CU-1661,David Lee,Technical,Low,System Bug,2026-02-24 18:40:00,2026-02-28 02:01:36,79.36,Met,4,North America,Phone,Closed
TS-1063,CU-1213,Emily Davis,Technical,Low,System Bug,2026-05-19 12:51:00,2026-05-24 04:33:36,111.71,Met,,Europe,Chat,Closed
TS-1064,CU-1054,Michael Chen,Billing,Medium,Subscription Cancel,2026-01-28 15:32:00,2026-01-30 20:29:36,52.96,Met,5,LATAM,Chat,Closed
TS-1065,CU-1659,Marcus Brown,General,Urgent,Partnership,2026-04-24 09:57:00,2026-04-24 17:40:48,7.73,Met,3,North America,Email,Closed
TS-1066,CU-1333,Priya Patel,General,Medium,Feedback,2026-06-16 16:46:00,2026-06-16 20:58:00,4.2,Met,5,Asia-Pacific,Portal,Closed
TS-1067,CU-1748,James Wilson,Account,Medium,Update Profile,2026-01-22 09:27:00,2026-01-27 21:06:00,131.65,Breached,3,Asia-Pacific,Email,Closed
TS-1068,CU-1338,Marcus Brown,General,Low,Feedback,2026-05-28 16:13:00,2026-05-29 13:17:12,21.07,Met,,LATAM,Email,Closed
TS-1069,CU-1286,Michael Chen,Billing,High,Invoice Copy,2026-03-21 13:22:00,2026-03-24 08:19:36,66.96,Breached,2,LATAM,Chat,Closed
TS-1070,CU-1032,Marcus Brown,General,Low,General Inquiry,2026-05-26 17:05:00,,,Breached,,Europe,Email,Open
TS-1071,CU-1160,James Wilson,Account,Medium,Account Security,2026-04-17 12:13:00,2026-04-17 21:19:36,9.11,Met,4,North America,Chat,Closed
TS-1072,CU-1684,Sarah Jenkins,Billing,Low,Refund Request,2026-03-07 12:20:00,2026-03-08 17:49:24,29.49,Met,4,North America,Phone,Closed
TS-1073,CU-1573,Sarah Jenkins,Billing,Low,Subscription Cancel,2026-05-28 14:36:00,2026-05-30 05:30:00,38.9,Met,5,North America,Phone,Closed
TS-1074,CU-1448,Marcus Brown,General,Medium,Feedback,2026-02-26 13:49:00,2026-02-27 06:34:36,16.76,Met,5,Europe,Email,Closed
TS-1075,CU-1745,Sofia Rodriguez,Account,Low,Login Issue,2026-06-17 09:11:00,,,Breached,,Europe,Chat,In Progress
TS-1076,CU-1644,Marcus Brown,General,High,General Inquiry,2026-01-18 15:28:00,2026-01-19 22:41:48,31.23,Met,4,LATAM,Portal,Closed
TS-1077,CU-1039,John Doe,Billing,High,Refund Request,2026-05-29 16:50:00,2026-05-31 00:06:12,31.27,Met,3,Asia-Pacific,Email,Closed
TS-1078,CU-1462,John Doe,Billing,Urgent,Payment Failure,2026-04-23 16:33:00,2026-04-23 18:10:48,1.63,Met,3,Asia-Pacific,Email,Closed
TS-1079,CU-1054,Priya Patel,General,Low,General Inquiry,2026-05-30 18:09:00,,,Breached,,North America,Phone,Open
TS-1080,CU-1318,John Doe,Billing,Medium,Invoice Copy,2026-02-02 18:44:00,2026-02-07 10:52:24,112.14,Breached,2,Europe,Portal,Closed
TS-1081,CU-1371,David Lee,Technical,Low,Hardware Malfunction,2026-02-05 10:04:00,2026-02-16 11:06:24,265.04,Breached,2,Asia-Pacific,Email,Closed
TS-1082,CU-1678,Alisha Khan,Technical,Medium,Speed Issue,2026-02-12 15:02:00,2026-02-15 10:58:24,67.94,Met,4,Europe,Phone,Closed
TS-1083,CU-1460,Marcus Brown,General,Low,Feature Request,2026-03-14 14:32:00,2026-03-16 06:29:36,39.96,Met,4,Europe,Chat,Closed
TS-1084,CU-1568,Alisha Khan,Technical,Low,Hardware Malfunction,2026-04-22 09:58:00,2026-04-25 04:53:12,66.92,Met,4,North America,Email,Closed
TS-1085,CU-1384,Sarah Jenkins,Billing,Low,Invoice Copy,2026-05-01 10:48:00,2026-05-02 14:27:00,27.65,Met,4,North America,Chat,Closed
TS-1086,CU-1562,Emily Davis,Technical,High,Hardware Malfunction,2026-06-09 15:04:00,2026-06-16 12:01:36,164.96,Breached,2,North America,Portal,Closed
TS-1087,CU-1630,David Lee,Technical,Medium,System Bug,2026-05-15 16:32:00,2026-05-19 00:31:24,79.99,Met,3,Europe,Phone,Closed
TS-1088,CU-1366,Michael Chen,Billing,Low,Invoice Copy,2026-06-14 10:53:00,2026-06-16 00:50:36,37.96,Met,,Asia-Pacific,Email,Closed
TS-1089,CU-1795,Michael Chen,Billing,Low,Payment Failure,2026-05-12 14:52:00,2026-05-13 02:09:24,11.29,Met,4,North America,Portal,Closed
TS-1090,CU-1887,James Wilson,Account,Low,Account Security,2026-04-09 13:11:00,2026-04-10 22:17:00,33.1,Met,5,Asia-Pacific,Phone,Closed
TS-1091,CU-1081,James Wilson,Account,Medium,Reset Password,2026-06-04 14:10:00,2026-06-05 08:49:36,18.66,Met,5,Europe,Portal,Closed
TS-1092,CU-1282,Priya Patel,General,Medium,General Inquiry,2026-02-06 17:43:00,2026-02-07 11:47:48,18.08,Met,5,North America,Email,Closed
TS-1093,CU-1696,Michael Chen,Billing,Low,Payment Failure,2026-03-13 11:07:00,2026-03-14 05:20:12,18.22,Met,5,Asia-Pacific,Portal,Closed
TS-1094,CU-1627,Alisha Khan,Technical,Low,System Bug,2026-01-23 18:54:00,,,Breached,,LATAM,Phone,Pending
TS-1095,CU-1684,Sofia Rodriguez,Account,Medium,Update Profile,2026-05-11 11:07:00,,,Breached,,North America,Phone,Pending
TS-1096,CU-1812,Michael Chen,Billing,High,Invoice Copy,2026-05-22 10:39:00,,,Breached,,Europe,Chat,Open
TS-1097,CU-1068,Priya Patel,General,Urgent,Partnership,2026-03-23 18:04:00,2026-03-23 23:50:12,5.77,Met,5,LATAM,Phone,Closed
TS-1098,CU-1444,Sofia Rodriguez,Account,Medium,Login Issue,2026-05-13 12:54:00,2026-05-13 18:40:48,5.78,Met,5,North America,Email,Closed
TS-1099,CU-1607,Sofia Rodriguez,Account,Medium,Reset Password,2026-06-14 17:16:00,2026-06-15 17:59:12,24.72,Met,5,Europe,Chat,Closed
TS-1100,CU-1297,Priya Patel,General,Low,General Inquiry,2026-04-17 15:29:00,2026-04-18 09:50:36,18.36,Met,5,LATAM,Phone,Closed
TS-1101,CU-1999,Sarah Jenkins,Billing,High,Invoice Copy,2026-03-05 10:06:00,2026-03-05 18:27:00,8.35,Met,,Europe,Portal,Closed
TS-1102,CU-1403,James Wilson,Account,Low,Reset Password,2026-06-17 18:30:00,2026-06-18 11:59:24,17.49,Met,,Europe,Portal,Closed
TS-1103,CU-1053,John Doe,Billing,Medium,Subscription Cancel,2026-06-09 18:39:00,2026-06-14 14:40:48,116.03,Breached,2,Asia-Pacific,Chat,Closed
TS-1104,CU-1774,Priya Patel,General,Medium,Feedback,2026-05-02 16:29:00,2026-05-03 16:03:48,23.58,Met,5,Europe,Chat,Closed
TS-1105,CU-1608,James Wilson,Account,Medium,Account Security,2026-01-29 14:37:00,2026-01-31 02:27:24,35.84,Met,3,LATAM,Phone,Closed
TS-1106,CU-1593,Alisha Khan,Technical,Medium,Integration Error,2026-05-27 09:12:00,2026-05-28 21:47:24,36.59,Met,5,North America,Chat,Closed
TS-1107,CU-1943,David Lee,Technical,Medium,Hardware Malfunction,2026-03-22 10:29:00,,,Breached,,North America,Portal,Open
TS-1108,CU-1351,David Lee,Technical,Medium,Speed Issue,2026-03-18 12:45:00,2026-03-23 12:13:48,119.48,Breached,,Asia-Pacific,Phone,Closed
TS-1109,CU-1693,Alisha Khan,Technical,High,Hardware Malfunction,2026-04-24 18:16:00,2026-04-25 11:10:00,16.9,Met,4,LATAM,Portal,Closed
TS-1110,CU-1246,David Lee,Technical,Medium,Speed Issue,2026-05-01 09:43:00,2026-05-10 07:19:36,213.61,Breached,2,North America,Chat,Closed
TS-1111,CU-1329,John Doe,Billing,High,Payment Failure,2026-01-10 10:26:00,,,Breached,,North America,Phone,Open
TS-1112,CU-1181,Emily Davis,Technical,High,Hardware Malfunction,2026-06-04 09:59:00,,,Breached,,LATAM,Email,Pending
TS-1113,CU-1292,Emily Davis,Technical,High,Integration Error,2026-04-28 18:16:00,2026-04-29 09:27:24,15.19,Met,,LATAM,Portal,Closed
TS-1114,CU-1626,Sarah Jenkins,Billing,Medium,Subscription Cancel,2026-05-03 13:59:00,2026-05-04 02:51:48,12.88,Met,,LATAM,Portal,Closed
TS-1115,CU-1670,Michael Chen,Billing,Low,Subscription Cancel,2026-06-30 12:44:00,2026-07-04 16:48:48,100.08,Met,,Europe,Phone,Closed
TS-1116,CU-1157,Priya Patel,General,Medium,Feature Request,2026-05-16 13:04:00,,,Breached,,Asia-Pacific,Portal,Open
TS-1117,CU-1115,Alisha Khan,Technical,Medium,Speed Issue,2026-06-24 11:45:00,2026-06-25 03:27:36,15.71,Met,5,Europe,Email,Closed
TS-1118,CU-1468,Sofia Rodriguez,Account,Medium,Reset Password,2026-05-29 09:02:00,2026-05-30 09:03:12,24.02,Met,5,LATAM,Email,Closed
TS-1119,CU-1185,Marcus Brown,General,Low,Partnership,2026-06-24 18:55:00,2026-06-26 05:04:36,34.16,Met,4,LATAM,Chat,Closed
TS-1120,CU-1746,James Wilson,Account,High,Account Security,2026-02-28 11:29:00,2026-03-01 10:22:24,22.89,Met,5,North America,Chat,Closed
TS-1121,CU-1905,John Doe,Billing,Low,Refund Request,2026-01-13 11:47:00,2026-01-15 13:15:48,49.48,Met,,Europe,Email,Closed
TS-1122,CU-1297,Sofia Rodriguez,Account,Medium,Login Issue,2026-05-14 11:26:00,2026-05-15 05:16:24,17.84,Met,5,Asia-Pacific,Chat,Closed
TS-1123,CU-1688,Priya Patel,General,Medium,Feature Request,2026-05-02 11:54:00,2026-05-03 05:27:00,17.55,Met,5,Asia-Pacific,Portal,Closed
TS-1124,CU-1427,David Lee,Technical,Low,Hardware Malfunction,2026-01-24 16:46:00,2026-01-26 12:57:24,44.19,Met,,LATAM,Chat,Closed
TS-1125,CU-1824,Sofia Rodriguez,Account,Low,Update Profile,2026-02-18 09:47:00,,,Breached,,LATAM,Chat,Pending
TS-1126,CU-1491,David Lee,Technical,Low,Hardware Malfunction,2026-06-16 13:19:00,2026-06-21 16:14:48,122.93,Met,3,Europe,Chat,Closed
TS-1127,CU-1380,Alisha Khan,Technical,Low,Speed Issue,2026-05-29 14:18:00,2026-05-31 17:12:36,50.91,Met,5,LATAM,Phone,Closed
TS-1128,CU-1702,Marcus Brown,General,High,Partnership,2026-05-20 15:11:00,,,Breached,,Asia-Pacific,Phone,Open
TS-1129,CU-1556,Michael Chen,Billing,High,Refund Request,2026-06-11 11:04:00,2026-06-12 00:14:48,13.18,Met,5,North America,Email,Closed
TS-1130,CU-1500,Marcus Brown,General,Medium,Feedback,2026-03-15 08:32:00,2026-03-17 17:03:48,56.53,Met,3,North America,Email,Closed
TS-1131,CU-1274,Priya Patel,General,Low,Partnership,2026-01-21 18:54:00,2026-01-21 23:56:24,5.04,Met,5,North America,Portal,Closed
TS-1132,CU-1720,Priya Patel,General,Medium,General Inquiry,2026-01-11 11:13:00,,,Breached,,North America,Chat,Open
TS-1133,CU-1709,John Doe,Billing,Low,Invoice Copy,2026-02-15 13:01:00,,,Breached,,Asia-Pacific,Portal,In Progress
TS-1134,CU-1602,James Wilson,Account,High,Login Issue,2026-05-19 13:24:00,2026-05-20 19:19:12,29.92,Met,4,LATAM,Chat,Closed
TS-1135,CU-1788,James Wilson,Account,Low,Account Security,2026-04-07 14:11:00,2026-04-09 10:15:12,44.07,Met,5,Asia-Pacific,Portal,Closed
TS-1136,CU-1085,Emily Davis,Technical,Low,Integration Error,2026-03-20 15:23:00,2026-03-23 15:16:24,71.89,Met,,Europe,Phone,Closed
TS-1137,CU-1568,Sarah Jenkins,Billing,High,Invoice Copy,2026-05-24 11:36:00,2026-05-25 06:24:36,18.81,Met,,Asia-Pacific,Email,Closed
TS-1138,CU-1172,Priya Patel,General,Medium,Feedback,2026-05-07 17:39:00,2026-05-07 22:12:00,4.55,Met,5,Asia-Pacific,Portal,Closed
TS-1139,CU-1824,Alisha Khan,Technical,Low,Hardware Malfunction,2026-03-22 10:25:00,,,Breached,,LATAM,Phone,In Progress
TS-1140,CU-1299,Sofia Rodriguez,Account,Low,Account Security,2026-05-20 10:43:00,2026-05-22 05:25:00,42.7,Met,,Europe,Portal,Closed
TS-1141,CU-1311,Marcus Brown,General,Medium,Partnership,2026-05-17 16:59:00,,,Breached,,Asia-Pacific,Chat,Open
TS-1142,CU-1709,Sofia Rodriguez,Account,High,Reset Password,2026-04-01 10:41:00,2026-04-01 22:28:24,11.79,Met,,North America,Portal,Closed
TS-1143,CU-1101,David Lee,Technical,Medium,Integration Error,2026-05-31 16:09:00,2026-06-02 06:52:48,38.73,Met,4,Europe,Phone,Closed
TS-1144,CU-1488,Priya Patel,General,Medium,General Inquiry,2026-01-30 08:54:00,2026-01-30 19:17:24,10.39,Met,5,LATAM,Email,Closed
TS-1145,CU-1817,Priya Patel,General,Low,Partnership,2026-04-20 14:00:00,2026-04-20 16:54:36,2.91,Met,5,Europe,Portal,Closed
TS-1146,CU-1269,Marcus Brown,General,Medium,Feedback,2026-06-22 12:58:00,2026-06-22 20:43:00,7.75,Met,3,Asia-Pacific,Portal,Closed
TS-1147,CU-1429,Marcus Brown,General,Medium,Feature Request,2026-02-17 13:53:00,2026-02-17 20:13:24,6.34,Met,5,LATAM,Chat,Closed
TS-1148,CU-1426,Michael Chen,Billing,Low,Payment Failure,2026-03-15 10:49:00,2026-03-23 03:19:36,184.51,Breached,,LATAM,Portal,Closed
TS-1149,CU-1794,Priya Patel,General,High,Feature Request,2026-06-17 11:19:00,2026-06-17 14:13:00,2.9,Met,5,North America,Phone,Closed
TS-1150,CU-1706,Emily Davis,Technical,Low,Speed Issue,2026-05-17 12:38:00,2026-05-19 03:56:00,39.3,Met,4,LATAM,Phone,Closed
TS-1151,CU-1922,Priya Patel,General,Urgent,Feedback,2026-02-03 11:09:00,2026-02-04 13:20:24,26.19,Breached,4,Europe,Email,Closed
TS-1152,CU-1276,Michael Chen,Billing,Medium,Subscription Cancel,2026-04-05 15:31:00,2026-04-09 16:46:36,97.26,Breached,2,LATAM,Portal,Closed
TS-1153,CU-1065,David Lee,Technical,Urgent,Integration Error,2026-05-28 10:36:00,2026-06-01 06:00:36,91.41,Breached,1,Europe,Portal,Closed
TS-1154,CU-1439,James Wilson,Account,High,Login Issue,2026-04-03 12:05:00,2026-04-04 19:28:24,31.39,Met,4,Europe,Chat,Closed
TS-1155,CU-1240,Sarah Jenkins,Billing,Medium,Payment Failure,2026-05-13 18:28:00,2026-05-17 08:19:36,85.86,Met,,North America,Portal,Closed
TS-1156,CU-1073,Michael Chen,Billing,Low,Refund Request,2026-02-04 18:43:00,2026-02-06 17:09:24,46.44,Met,4,LATAM,Chat,Closed
TS-1157,CU-1644,Priya Patel,General,Medium,Feature Request,2026-02-01 17:46:00,2026-02-02 18:46:36,25.01,Met,,LATAM,Chat,Closed
TS-1158,CU-1567,Sofia Rodriguez,Account,High,Login Issue,2026-03-17 18:03:00,2026-03-18 09:44:24,15.69,Met,5,North America,Phone,Closed
TS-1159,CU-1073,Alisha Khan,Technical,Urgent,Integration Error,2026-05-20 18:11:00,2026-05-21 14:27:12,20.27,Met,4,Asia-Pacific,Email,Closed
TS-1160,CU-1085,Sarah Jenkins,Billing,Low,Payment Failure,2026-04-11 17:40:00,2026-04-13 22:28:36,52.81,Met,4,Asia-Pacific,Chat,Closed
TS-1161,CU-1245,Priya Patel,General,Low,Feedback,2026-06-18 10:07:00,2026-06-19 00:50:48,14.73,Met,5,Europe,Email,Closed
TS-1162,CU-1381,Michael Chen,Billing,Medium,Refund Request,2026-01-17 12:45:00,,,Breached,,Asia-Pacific,Chat,In Progress
TS-1163,CU-1643,Sofia Rodriguez,Account,Medium,Reset Password,2026-03-07 09:57:00,2026-03-08 05:33:00,19.6,Met,5,LATAM,Email,Closed
TS-1164,CU-1251,Emily Davis,Technical,Low,Speed Issue,2026-06-17 14:14:00,2026-06-20 01:15:48,59.03,Met,4,LATAM,Email,Closed
TS-1165,CU-1515,Michael Chen,Billing,Low,Subscription Cancel,2026-03-21 13:05:00,2026-03-23 15:33:48,50.48,Met,4,Europe,Email,Closed
TS-1166,CU-1506,Marcus Brown,General,Low,Feedback,2026-06-27 08:21:00,2026-07-01 15:40:12,103.32,Met,4,Europe,Chat,Closed
TS-1167,CU-1244,Emily Davis,Technical,Urgent,Hardware Malfunction,2026-05-14 14:44:00,,,Breached,,LATAM,Portal,Open
TS-1168,CU-1470,Priya Patel,General,Medium,Feedback,2026-02-03 11:18:00,2026-02-03 14:04:12,2.77,Met,5,North America,Email,Closed
TS-1169,CU-1279,Emily Davis,Technical,Urgent,System Bug,2026-03-22 14:07:00,2026-03-23 06:43:00,16.6,Met,4,North America,Chat,Closed
TS-1170,CU-1847,Sofia Rodriguez,Account,High,Login Issue,2026-04-12 16:03:00,2026-04-12 19:10:48,3.13,Met,5,Europe,Email,Closed
TS-1171,CU-1474,Michael Chen,Billing,Low,Payment Failure,2026-06-11 18:05:00,2026-06-12 01:41:00,7.6,Met,,Europe,Email,Closed
TS-1172,CU-1927,Marcus Brown,General,Low,Feedback,2026-04-12 15:01:00,2026-04-13 12:10:36,21.16,Met,5,North America,Phone,Closed
TS-1173,CU-1153,Marcus Brown,General,Medium,Partnership,2026-03-13 14:08:00,2026-03-15 09:25:24,43.29,Met,4,Europe,Email,Closed
TS-1174,CU-1731,Marcus Brown,General,Medium,General Inquiry,2026-02-16 08:20:00,2026-02-16 11:45:48,3.43,Met,4,LATAM,Phone,Closed
TS-1175,CU-1239,Alisha Khan,Technical,Low,Hardware Malfunction,2026-02-26 17:54:00,,,Breached,,North America,Chat,Pending
TS-1176,CU-1398,Sofia Rodriguez,Account,Low,Update Profile,2026-04-01 17:36:00,2026-04-02 14:49:12,21.22,Met,5,Europe,Phone,Closed
TS-1177,CU-1340,Emily Davis,Technical,Low,Hardware Malfunction,2026-02-06 09:54:00,2026-02-09 10:48:00,72.9,Met,5,Europe,Chat,Closed
TS-1178,CU-1345,David Lee,Technical,Low,Integration Error,2026-02-14 16:44:00,,,Breached,,Asia-Pacific,Phone,Open
